2011,26197,651,5982,3933,1305,9908,27.14,1610,2.004608,13.5388,0.6037545,0.0738618,0.0498149,660
2012,26466,630,5922,3941,1574,10213,38.05,1779,2.498413,15.22967,0.5798492,0.0656613,0.0594725,708
2013,26387,596,5961,4207,1879,9966,63.74,1163,3.152684,20.21769,0.5981337,0.0494616,0.0712093,397
2014,24072,507,6530,4033,2959,6970,55.34,1556,5.836292,9.482048,0.9368723,0.1054624,0.1229229,428
2015,23765,463,8448,3560,1413,5563,47.13,2187,3.051836,15.44316,1.518605,0.0647536,0.0594572,323
2016,24238,412,8925,3708,1261,3689,63.62,2355,3.06068,20.78623,2.419355,0.0481088,0.0520257,598
2017,20843,383,9483,3972,357,1978,59,2301,0.9321149,63.29692,4.794237,0.0157986,0.0171281,285
2018,21859,373,9478,4573,1960,2804,43.72,2179,5.254692,8.320184,3.380171,0.1201897,0.0896656,322
2019,49519,615,20221,9048,3308,13207,41.97,2854,5.378862,7.802766,1.531082,0.1281597,0.0668026,632
2020,52663,617,21622,8296,2422,15371,37.26,5483,3.925446,9.491916,1.406675,0.1053528,0.0459905,2984
2013,49953,801.88,22459,5808,35,14245,33.64,6420,0.0436474,770.7213,1.576623,0.0012975,0.0007007,5891
2014,56653,807.469,24417,8776,247,15663,26.94,5208,0.3058941,88.06969,1.558897,0.0113546,0.0043599,5315
2015,62436,818.391,28924,9528,733,16557,39.12,5362,0.8956599,43.67729,1.746935,0.0228952,0.01174,4582
2016,65891,826.357,30407,9022,1460,18236,57.51,5195,1.766791,32.55054,1.667416,0.0307215,0.0221578,5500
2017,70563,859.407,30909,11515,4536,22559,63.51,-2600,5.278058,12.03284,1.370141,0.0831059,0.064283,1219
2018,72468,850.18,30104,10267,2888,24718,63.61,-1986,3.396928,18.72574,1.217898,0.0534024,0.0398521,1203
2019,86921,856.905,42309,12506,3468,28789,78.42,-3201,4.047123,19.37673,1.469624,0.0516083,0.0398983,1528
2020,200162,1241.806,102668,21703,3064,65344,134.85,2182,2.467374,54.65324,1.571193,0.0182972,0.0153076,10385
2019,19509,620.596,6751,1712,1595,9947,36.64,4766,2.57011,14.2562,0.6786971,0.0701449,0.0817571,3234
2020,21750,604.687,8520,1906,999,10094,26.82,5580,1.652094,16.23394,0.8440658,0.0615993,0.045931,4645
2010,9632.153,443.235,6514.936,4499.301,984.729,-1133.929,19.66,74.092,2.221686,8.849134,-5.745453,0.1130054,0.1022335,640.672
2011,11470.231,447.049,7493.779,3220.511,1515.907,-420.37,28.48,527.312,3.390919,8.398903,-17.82663,0.1190632,0.1321601,609.108
2012,17379.608,452.93,11888.1,3924.467,636.687,36.867,36.4,5134.686,1.405707,25.89444,322.4591,0.0386183,0.0366341,3606.14
2013,20375.628,458.267,13650.884,4551.649,807.492,977.08,57.92,7761.797,1.762056,32.8707,13.9711,0.0304222,0.0396303,4700.022
2014,22107.462,461.724,14463.78,4112.525,944.693,2013.009,72.89,8465.209,2.046012,35.6254,7.185154,0.0280699,0.0427319,7104.496
2015,22886.71,464.184,13755.925,5162.94,747.092,2748.787,57.18,-1619.697,1.609474,35.52714,5.004362,0.0281475,0.032643,1053.158
2016,28091.847,465.247,16478.9,4527.985,1449.853,4637.119,57.93,3755.069,3.116308,18.5893,3.553694,0.0537944,0.0516112,5323.725
2017,29773.766,466.469,16202.965,4828.004,2098.689,6937.414,47.75,-1542.981,4.499096,10.61324,2.335592,0.0942219,0.0704879,1479.508
2018,30587.012,467.884,15152.777,4776.132,1575.091,8595.688,24.97,-1486.927,3.366413,7.41739,1.762835,0.1348183,0.0514954,887.346
2019,33230.935,523.039,14282.3,4496.091,1399.512,11564.521,35.47,-480.991,2.675732,13.25619,1.23501,0.0754365,0.0421147,2443.643
2020,38239.947,526.156,15822.41,6084.746,1762.673,13780.155,32.34,937.412,3.350096,9.653456,1.148203,0.1035898,0.0460951,3370.092
2010,15707,114.559,12306,1049,-237,1478,38.94,-723,-2.068803,-18.82248,8.326117,-0.053128,-0.0150888,4
2011,15605,100.57,12856,1153,-369,409,56.94,-783,-3.669086,-15.51885,31.43276,-0.0644378,-0.0236463,2
2012,15599,101.176,12808,1224,-304,149,76.24,-891,-3.004665,-25.37388,85.95973,-0.0394106,-0.0194884,7
2013,17295,106.144,14181,1467,-169,151,136.76,-1145,-1.592177,-85.89499,93.91391,-0.0116421,-0.0097716,21
2014,24550,112,21023,1635,-183,146,166.62,-1264,-1.633929,-101.9751,143.9931,-0.0098063,-0.0074542,3
2015,39316,112.439,35723,1972,-271,-46,183.1,-1627,-2.410196,-75.96893,-776.587,-0.0131633,-0.0068929,5
2016,149067,268.898,61747,9572,3522,40139,287.92,-6272,13.0979,21.98214,1.538329,0.0454915,0.023627,1535
2017,146623,238.506,70231,11090,9895,39084,335.96,-8535,41.48743,8.097875,1.796925,0.1234892,0.067486,621
2018,146130,225.354,72827,12095,1230,36285,284.97,-9365,5.458079,52.21067,2.007083,0.0191532,0.0084172,551
2019,148188,209.976,80333,12385,1668,31445,485.08,-5914,7.943765,61.06424,2.554715,0.0163762,0.011256,3483
2020,144206,193.731,84160,9875,3222,23805,661.55,-5969,16.63131,39.77739,3.535392,0.0251399,0.022343,998
2010,11019,412,3618,785,653,6225,41.7,950,1.584951,26.30996,0.5812048,0.0380084,0.0592613,466
2011,11913,389,4245,746,1132,6517,40.97,1685,2.910026,14.07891,0.6513733,0.0710282,0.0950222,1048
2012,12930,365.3,5243,946,943,6291,63.48,1784,2.58144,24.59093,0.8334128,0.0406654,0.0729312,1201
2013,14979,350.2,6499,1294,1075,6196,90.42,1116,3.069674,29.45589,1.048903,0.0339491,0.0717671,408
2014,16014,480.9,6924,2604,1139,5602,34.45,-113,2.368476,14.54522,1.235987,0.0687511,0.0711253,367
2015,15864,456,7642,1579,1034,5451,26.68,1017,2.267544,11.76604,1.401945,0.0849904,0.065179,390
2016,15758,418,7875,1561,1194,5167,27.41,1038,2.856459,9.595796,1.524095,0.1042123,0.075771,300
2017,22555,386,14785,1871,-337,4610,22.38,8120,-0.873057,-25.63407,3.207158,-0.0390106,-0.0149413,7309
2018,32550,530,17045,3997,589,8386,24.74,234,1.111321,22.2618,2.032554,0.04492,0.0180952,986
2019,33735,530,16372,3239,2049,9891,32.74,1978,3.866038,8.468618,1.655242,0.118083,0.0607381,1552
2020,34087,492,16308,3082,1219,10464,30.09,3048,2.477642,12.14461,1.558486,0.0823411,0.0357614,2091
